shape,color,alpha,date,classification
POINT (-93.94 30.41667),black,1.0,1983-12-24,Class A
POINT (-98.34999999999999 33.13333),black,1.0,2003-10-21,Class A
POINT (-96.10222 32.94722),black,1.0,2003-12-24,Class A
POINT (-101.3903 32.24083),black,1.0,2004-10-03,Class A
POINT (-95.48833 31.35833),black,1.0,1980-06-30,Class A
POINT (-95.54277999999999 33.33),black,1.0,2004-01-09,Class B
POINT (-95.58334000000001 30.95972),black,1.0,2004-01-09,Class B
POINT (-95.20690999999999 31.50773),black,1.0,2006-08-27,Class B
POINT (-95.59744999999999 31.1683),black,1.0,2007-12-20,Class A
POINT (-95.38226 31.55668),black,1.0,2017-03-15,Class A
POINT (-96.00306 33.19944),black,1.0,2003-12-29,Class A
POINT (-95.84 33.25),black,1.0,2015-01-02,Class B
POINT (-98.40000000000001 33.2),black,1.0,2015-07-13,Class B
POINT (-98.325 33.275),black,1.0,2016-07-02,Class A
POINT (-98.3 33.375),black,1.0,2016-07-18,Class B
POINT (-96.70999999999999 29.02611),black,1.0,2004-09-22,Class A
POINT (-93.97199999999999 30.83315),black,1.0,2003-01-15,Class A
POINT (-93.89 30.43444),black,1.0,2005-04-25,Class B
POINT (-93.97194 30.33778),black,1.0,2005-08-14,Class B
POINT (-94.04528999999999 30.7114),black,1.0,2013-11-02,Class B
POINT (-94.20775999999999 31.05591),black,1.0,2014-03-25,Class B
POINT (-97.54944 32.17194),black,1.0,2003-12-10,Class A
POINT (-95.62860999999999 33.82722),black,1.0,2001-12-29,Class B
POINT (-95.83638999999999 33.82083),black,1.0,2004-01-13,Class A
POINT (-95.89323 31.18523),black,1.0,2018-02-13,Class B
POINT (-95.10654 30.302),black,1.0,1980-04-19,Class A
POINT (-94.84999999999999 30.26667),black,1.0,2004-05-04,Class A
POINT (-94.79333 30.26861),black,1.0,2004-06-03,Class A
POINT (-94.81999999999999 30.10305),black,1.0,2004-06-15,Class A
POINT (-94.86667 30.08333),black,1.0,2004-07-22,Class A
POINT (-94.83334000000001 29.88528),black,1.0,2004-08-19,Class A
POINT (-94.86667 30.41667),black,1.0,2004-11-26,Class A
POINT (-94.84999999999999 30.01667),black,1.0,2005-01-17,Class A
POINT (-95.00833 30.40833),black,1.0,2005-02-02,Class A
POINT (-98.05 32.53333),black,1.0,2003-12-12,Class B
POINT (-95.59999999999999 32.16139),black,1.0,2004-12-03,Class A
POINT (-100.5 36),black,1.0,2000-07-05,Class A
POINT (-97.81083 29.385),black,1.0,2003-10-08,Class B
POINT (-94.81806 32.4125),black,1.0,1978-06-30,Class B
POINT (-96.53 33.75556),black,1.0,1975-06-30,Class B
POINT (-97.77225 29.32862),black,1.0,1993-04-15,Class A
POINT (-96.2 31.87333),black,1.0,2004-04-28,Class B
POINT (-95.24917000000001 33.34139),black,1.0,2003-12-30,Class B
POINT (-95.8775 33.46333),black,1.0,2003-12-08,Class A
POINT (-98.09233999999999 32.04417),black,1.0,2005-03-19,Class A
POINT (-96.80417 32.5175),black,1.0,1938-06-30,Class B
POINT (-98.68000000000001 32.375),black,1.0,1977-09-30,Class B
POINT (-100.8361 33.62167),black,1.0,2003-11-06,Class B
POINT (-97.02298999999999 33.33614),black,1.0,1990-09-14,Class B
POINT (-97.03784 33.27303),black,1.0,2008-04-08,Class B
POINT (-97.05 33.25),black,1.0,2017-11-25,Class B
POINT (-97.18000000000001 33.04),black,1.0,2017-12-20,Class B
POINT (-96.69583 32.26889),black,1.0,1964-06-30,Class B
POINT (-96.66 32.36),black,1.0,1972-07-15,Class A
POINT (-96.63 32.375),black,1.0,1988-04-15,Class A
POINT (-96.27306 33.59),black,1.0,2003-12-15,Class B
POINT (-95.90694000000001 33.61666),black,1.0,2004-01-30,Class A
POINT (-95.92831 33.79094),black,1.0,2009-08-22,Class B
POINT (-95.23958 33.36867),black,1.0,2004-10-20,Class A
POINT (-96.12524000000001 31.93425),black,1.0,2009-08-25,Class A
POINT (-96.84806 33.69),black,1.0,2003-12-31,Class A
POINT (-96.78917 33.71472),black,1.0,2004-02-19,Class A
POINT (-96.76199 33.81435),black,1.0,2006-07-04,Class B
POINT (-94.90000000000001 32.51667),black,1.0,2004-08-16,Class A
POINT (-97.47971 29.30877000000001),black,1.0,2010-05-15,Class B
POINT (-94.3 32.68),black,1.0,1979-04-15,Class A
POINT (-94.59222 32.68945),black,1.0,2003-11-29,Class A
POINT (-94.16665999999999 32.8),black,1.0,2004-02-22,Class A
POINT (-94.2 32.62194),black,1.0,2004-02-27,Class A
